"INTERVAL_DATETIME","DUID","LASTCHANGED","MWH_READINGS_ANOMALY"
"7/5/2025 4:10","MLSP1","7/5/2025 4:05",0.038
"7/5/2025 4:10","MLWF1","7/5/2025 4:05",4.8
"7/5/2025 4:10","PALOONA","7/5/2025 4:05",31.039999
"7/5/2025 4:10","PIONEER","7/5/2025 4:05",35.299999
"7/5/2025 4:10","PORTWF","7/5/2025 4:05",49
"7/5/2025 4:10","REPULSE","7/5/2025 4:05",15.078965
"7/5/2025 4:10","ROWALLAN","7/5/2025 4:05",-0.005966
"7/5/2025 4:10","ROYALLA1","7/5/2025 4:05",0
"7/5/2025 4:10","RPCG","7/5/2025 4:05",-0.6
"7/5/2025 4:10","RUBICON","7/5/2025 4:05",0.315
"7/5/2025 4:10","SHOAL1","7/5/2025 4:05",43.800003
"7/5/2025 4:10","TULLYSM1","7/5/2025 4:05",10.1
"7/5/2025 4:10","WAUBRAWF","7/5/2025 4:05",169.774002
"7/5/2025 4:10","WNSF1","7/5/2025 4:05",0
"7/5/2025 4:10","WOOLNTH1","7/5/2025 4:05",13.46
"7/5/2025 4:10","YAMBUKWF","7/5/2025 4:05",10
"7/5/2025 4:10","YSWF1","7/5/2025 4:05",0.6
"7/5/2025 4:15","BARCSF1","7/5/2025 4:10",0.2
"7/5/2025 4:15","BUTLERSG","7/5/2025 4:10",7.499999
"7/5/2025 4:15","BWTR1","7/5/2025 4:10",-23.60708
"7/5/2025 4:15","CAPTL_WF","7/5/2025 4:10",0
"7/5/2025 4:15","CHALLHWF","7/5/2025 4:10",41.900002
"7/5/2025 4:15","CLOVER","7/5/2025 4:10",0
"7/5/2025 4:15","CLUNY","7/5/2025 4:10",2.071412
"7/5/2025 4:15","CONDONG1","7/5/2025 4:10",23.370001
"7/5/2025 4:15","CULLRGWF","7/5/2025 4:10",0.28
"7/5/2025 4:15","DIAPURWF1","7/5/2025 4:10",5.3
"7/5/2025 4:15","ERGT01","7/5/2025 4:10",0
"7/5/2025 4:15","GB01","7/5/2025 4:10",0
"7/5/2025 4:15","GRIFSF1","7/5/2025 4:10",0.001526
"7/5/2025 4:15","HUGSF1","7/5/2025 4:10",-0.2
"7/5/2025 4:15","KEPBG1","7/5/2025 4:10",0
"7/5/2025 4:15","LRSF1","7/5/2025 4:10",0
"7/5/2025 4:15","MBAHNTH","7/5/2025 4:10",24.299999
"7/5/2025 4:15","MLSP1","7/5/2025 4:10",0.038
"7/5/2025 4:15","MLWF1","7/5/2025 4:10",4.485
"7/5/2025 4:15","PALOONA","7/5/2025 4:10",29.869999
"7/5/2025 4:15","PIONEER","7/5/2025 4:10",39.400002
"7/5/2025 4:15","PORTWF","7/5/2025 4:10",51
"7/5/2025 4:15","REPULSE","7/5/2025 4:10",3.079271
"7/5/2025 4:15","ROWALLAN","7/5/2025 4:10",-0.005447
"7/5/2025 4:15","ROYALLA1","7/5/2025 4:10",0
"7/5/2025 4:15","RPCG","7/5/2025 4:10",-0.6
"7/5/2025 4:15","RUBICON","7/5/2025 4:10",0.18
"7/5/2025 4:15","SHOAL1","7/5/2025 4:10",43.779999
"7/5/2025 4:15","TULLYSM1","7/5/2025 4:10",9.9
"7/5/2025 4:15","WAUBRAWF","7/5/2025 4:10",165.927002
"7/5/2025 4:15","WNSF1","7/5/2025 4:10",0
"7/5/2025 4:15","WOOLNTH1","7/5/2025 4:10",13.369999
"7/5/2025 4:15","YAMBUKWF","7/5/2025 4:10",10.5
"7/5/2025 4:15","YSWF1","7/5/2025 4:10",0.7
"7/5/2025 4:20","BARCSF1","7/5/2025 4:15",0.2
"7/5/2025 4:20","BUTLERSG","7/5/2025 4:15",7.499999
"7/5/2025 4:20","BWTR1","7/5/2025 4:15",-23.60708
"7/5/2025 4:20","CAPTL_WF","7/5/2025 4:15",0
"7/5/2025 4:20","CHALLHWF","7/5/2025 4:15",40.5
"7/5/2025 4:20","CLOVER","7/5/2025 4:15",0
"7/5/2025 4:20","CLUNY","7/5/2025 4:15",2.123598
"7/5/2025 4:20","CONDONG1","7/5/2025 4:15",23.01
"7/5/2025 4:20","CULLRGWF","7/5/2025 4:15",0.1
"7/5/2025 4:20","DIAPURWF1","7/5/2025 4:15",5.3
"7/5/2025 4:20","ERGT01","7/5/2025 4:15",0
"7/5/2025 4:20","GB01","7/5/2025 4:15",0
"7/5/2025 4:20","GERMCRK","7/5/2025 4:15",15.697
"7/5/2025 4:20","GRIFSF1","7/5/2025 4:15",0.00763
"7/5/2025 4:20","HUGSF1","7/5/2025 4:15",-0.2
"7/5/2025 4:20","KEPBG1","7/5/2025 4:15",0
"7/5/2025 4:20","LRSF1","7/5/2025 4:15",0
"7/5/2025 4:20","MBAHNTH","7/5/2025 4:15",21.5
"7/5/2025 4:20","MLSP1","7/5/2025 4:15",0.038
"7/5/2025 4:20","MLWF1","7/5/2025 4:15",3.93
"7/5/2025 4:20","PALOONA","7/5/2025 4:15",30.209999
"7/5/2025 4:20","PIONEER","7/5/2025 4:15",40.200001
"7/5/2025 4:20","PORTWF","7/5/2025 4:15",52.700001
"7/5/2025 4:20","REPULSE","7/5/2025 4:15",3.212329
"7/5/2025 4:20","ROWALLAN","7/5/2025 4:15",-0.005447
"7/5/2025 4:20","ROYALLA1","7/5/2025 4:15",0
"7/5/2025 4:20","RPCG","7/5/2025 4:15",-0.6
"7/5/2025 4:20","RUBICON","7/5/2025 4:15",0.18
"7/5/2025 4:20","SHOAL1","7/5/2025 4:15",43.73
"7/5/2025 4:20","TULLYSM1","7/5/2025 4:15",10
"7/5/2025 4:20","WAUBRAWF","7/5/2025 4:15",160.001999
"7/5/2025 4:20","WNSF1","7/5/2025 4:15",0
"7/5/2025 4:20","WOOLNTH1","7/5/2025 4:15",13.76
"7/5/2025 4:20","YAMBUKWF","7/5/2025 4:15",11.1
"7/5/2025 4:20","YSWF1","7/5/2025 4:15",2
"7/5/2025 4:25","BARCSF1","7/5/2025 4:20",0.2
"7/5/2025 4:25","BUTLERSG","7/5/2025 4:20",7.499999
"7/5/2025 4:25","BWTR1","7/5/2025 4:20",-23.60708
"7/5/2025 4:25","CAPTL_WF","7/5/2025 4:20",0
"7/5/2025 4:25","CHALLHWF","7/5/2025 4:20",42.099998
"7/5/2025 4:25","CLOVER","7/5/2025 4:20",0
"7/5/2025 4:25","CLUNY","7/5/2025 4:20",2.129091
"7/5/2025 4:25","CONDONG1","7/5/2025 4:20",23.92
"7/5/2025 4:25","CULLRGWF","7/5/2025 4:20",-0.02
"7/5/2025 4:25","DIAPURWF1","7/5/2025 4:20",5.3
"7/5/2025 4:25","ERGT01","7/5/2025 4:20",0
"7/5/2025 4:25","GB01","7/5/2025 4:20",0
"7/5/2025 4:25","GRIFSF1","7/5/2025 4:20",0.001526
"7/5/2025 4:25","HUGSF1","7/5/2025 4:20",-0.2
"7/5/2025 4:25","KEPBG1","7/5/2025 4:20",0
"7/5/2025 4:25","LRSF1","7/5/2025 4:20",0
"7/5/2025 4:25","MBAHNTH","7/5/2025 4:20",22.799999
"7/5/2025 4:25","MLSP1","7/5/2025 4:20",0.038
"7/5/2025 4:25","MLWF1","7/5/2025 4:20",4.065
"7/5/2025 4:25","PALOONA","7/5/2025 4:20",30.019999
"7/5/2025 4:25","PIONEER","7/5/2025 4:20",43.099998
"7/5/2025 4:25","PORTWF","7/5/2025 4:20",55.700001
"7/5/2025 4:25","REPULSE","7/5/2025 4:20",3.111009
"7/5/2025 4:25","ROWALLAN","7/5/2025 4:20",-0.009598
"7/5/2025 4:25","ROYALLA1","7/5/2025 4:20",0
"7/5/2025 4:25","RPCG","7/5/2025 4:20",-0.6
"7/5/2025 4:25","RUBICON","7/5/2025 4:20",0.315
"7/5/2025 4:25","SHOAL1","7/5/2025 4:20",43.68
"7/5/2025 4:25","TULLYSM1","7/5/2025 4:20",10
"7/5/2025 4:25","WAUBRAWF","7/5/2025 4:20",158.570007
"7/5/2025 4:25","WNSF1","7/5/2025 4:20",0
"7/5/2025 4:25","WOOLNTH1","7/5/2025 4:20",12.889999
"7/5/2025 4:25","YAMBUKWF","7/5/2025 4:20",11.1
"7/5/2025 4:25","YSWF1","7/5/2025 4:20",0.7
"7/5/2025 4:30","BARCSF1","7/5/2025 4:25",0.2
"7/5/2025 4:30","BUTLERSG","7/5/2025 4:25",7.499999
"7/5/2025 4:30","BWTR1","7/5/2025 4:25",-23.60708
"7/5/2025 4:30","CAPTL_WF","7/5/2025 4:25",0
"7/5/2025 4:30","CHALLHWF","7/5/2025 4:25",42.099998
"7/5/2025 4:30","CLOVER","7/5/2025 4:25",0
"7/5/2025 4:30","CLUNY","7/5/2025 4:25",2.071412
"7/5/2025 4:30","CONDONG1","7/5/2025 4:25",23.48
"7/5/2025 4:30","CULLRGWF","7/5/2025 4:25",-0.03
"7/5/2025 4:30","DIAPURWF1","7/5/2025 4:25",5.3
"7/5/2025 4:30","ERGT01","7/5/2025 4:25",0
"7/5/2025 4:30","GB01","7/5/2025 4:25",0
"7/5/2025 4:30","GERMCRK","7/5/2025 4:25",15.557
"7/5/2025 4:30","GRIFSF1","7/5/2025 4:25",0.001526
"7/5/2025 4:30","HUGSF1","7/5/2025 4:25",-0.2
"7/5/2025 4:30","KEPBG1","7/5/2025 4:25",0
"7/5/2025 4:30","LRSF1","7/5/2025 4:25",0
"7/5/2025 4:30","MBAHNTH","7/5/2025 4:25",21.5
"7/5/2025 4:30","MLSP1","7/5/2025 4:25",0.038
"7/5/2025 4:30","MLWF1","7/5/2025 4:25",3.735
"7/5/2025 4:30","PALOONA","7/5/2025 4:25",30.279999
"7/5/2025 4:30","PIONEER","7/5/2025 4:25",40.200001
"7/5/2025 4:30","PORTWF","7/5/2025 4:25",58
"7/5/2025 4:30","REPULSE","7/5/2025 4:25",3.225757
"7/5/2025 4:30","ROWALLAN","7/5/2025 4:25",-0.006485
"7/5/2025 4:30","ROYALLA1","7/5/2025 4:25",0
"7/5/2025 4:30","RPCG","7/5/2025 4:25",-0.6
"7/5/2025 4:30","RUBICON","7/5/2025 4:25",0.18
"7/5/2025 4:30","SHOAL1","7/5/2025 4:25",43.190002
"7/5/2025 4:30","TULLYSM1","7/5/2025 4:25",10.1
"7/5/2025 4:30","WAUBRAWF","7/5/2025 4:25",160.358002
"7/5/2025 4:30","WNSF1","7/5/2025 4:25",0
"7/5/2025 4:30","WOOLNTH1","7/5/2025 4:25",11.74
"7/5/2025 4:30","YAMBUKWF","7/5/2025 4:25",61
"7/5/2025 4:30","YSWF1","7/5/2025 4:25",1
"7/5/2025 4:35","BARCSF1","7/5/2025 4:30",0.2
"7/5/2025 4:35","BUTLERSG","7/5/2025 4:30",7.599998
"7/5/2025 4:35","BWTR1","7/5/2025 4:30",-23.60708
"7/5/2025 4:35","CAPTL_WF","7/5/2025 4:30",0
"7/5/2025 4:35","CHALLHWF","7/5/2025 4:30",40.799999
"7/5/2025 4:35","CLOVER","7/5/2025 4:30",0
"7/5/2025 4:35","CLUNY","7/5/2025 4:30",2.138247
"7/5/2025 4:35","CONDONG1","7/5/2025 4:30",23.27
"7/5/2025 4:35","CULLRGWF","7/5/2025 4:30",0
"7/5/2025 4:35","DIAPURWF1","7/5/2025 4:30",5.3
"7/5/2025 4:35","ERGT01","7/5/2025 4:30",0
"7/5/2025 4:35","GB01","7/5/2025 4:30",0
"7/5/2025 4:35","GERMCRK","7/5/2025 4:30",16.747
"7/5/2025 4:35","GRIFSF1","7/5/2025 4:30",0.001526
"7/5/2025 4:35","HUGSF1","7/5/2025 4:30",-0.2
"7/5/2025 4:35","KEPBG1","7/5/2025 4:30",0
"7/5/2025 4:35","LRSF1","7/5/2025 4:30",0
"7/5/2025 4:35","MBAHNTH","7/5/2025 4:30",24.299999
"7/5/2025 4:35","MLSP1","7/5/2025 4:30",0.038
"7/5/2025 4:35","MLWF1","7/5/2025 4:30",4.365
"7/5/2025 4:35","PALOONA","7/5/2025 4:30",30.129999
"7/5/2025 4:35","PIONEER","7/5/2025 4:30",38.799999
"7/5/2025 4:35","PORTWF","7/5/2025 4:30",63.900002
"7/5/2025 4:35","REPULSE","7/5/2025 4:30",2.932784
"7/5/2025 4:35","ROWALLAN","7/5/2025 4:30",-0.005966
"7/5/2025 4:35","ROYALLA1","7/5/2025 4:30",0
"7/5/2025 4:35","RPCG","7/5/2025 4:30",-0.6
"7/5/2025 4:35","RUBICON","7/5/2025 4:30",0.18
"7/5/2025 4:35","SHOAL1","7/5/2025 4:30",43.059998
"7/5/2025 4:35","TULLYSM1","7/5/2025 4:30",10.1
"7/5/2025 4:35","WAUBRAWF","7/5/2025 4:30",162.520004
"7/5/2025 4:35","WNSF1","7/5/2025 4:30",0
"7/5/2025 4:35","WOOLNTH1","7/5/2025 4:30",10.67
"7/5/2025 4:35","YAMBUKWF","7/5/2025 4:30",13.3
"7/5/2025 4:35","YSWF1","7/5/2025 4:30",1.5
"7/5/2025 4:40","BARCSF1","7/5/2025 4:35",0.2
"7/5/2025 4:40","BUTLERSG","7/5/2025 4:35",7.599998
"7/5/2025 4:40","BWTR1","7/5/2025 4:35",-23.60708
"7/5/2025 4:40","CAPTL_WF","7/5/2025 4:35",0
"7/5/2025 4:40","CHALLHWF","7/5/2025 4:35",42.200001
"7/5/2025 4:40","CLOVER","7/5/2025 4:35",0
"7/5/2025 4:40","CLUNY","7/5/2025 4:35",2.028382
"7/5/2025 4:40","CONDONG1","7/5/2025 4:35",23.129999
"7/5/2025 4:40","CULLRGWF","7/5/2025 4:35",0
"7/5/2025 4:40","DIAPURWF1","7/5/2025 4:35",5.3
"7/5/2025 4:40","ERGT01","7/5/2025 4:35",0
"7/5/2025 4:40","GB01","7/5/2025 4:35",0
"7/5/2025 4:40","GERMCRK","7/5/2025 4:35",14.777
"7/5/2025 4:40","GRIFSF1","7/5/2025 4:35",0.001526
"7/5/2025 4:40","HUGSF1","7/5/2025 4:35",-1
"7/5/2025 4:40","KEPBG1","7/5/2025 4:35",0
"7/5/2025 4:40","LRSF1","7/5/2025 4:35",0
"7/5/2025 4:40","MBAHNTH","7/5/2025 4:35",23.9
"7/5/2025 4:40","MLSP1","7/5/2025 4:35",0.038
"7/5/2025 4:40","MLWF1","7/5/2025 4:35",5.235
"7/5/2025 4:40","PALOONA","7/5/2025 4:35",29.76
"7/5/2025 4:40","PIONEER","7/5/2025 4:35",40.099998
"7/5/2025 4:40","PORTWF","7/5/2025 4:35",64.699997
"7/5/2025 4:40","REPULSE","7/5/2025 4:35",3.111009
"7/5/2025 4:40","ROWALLAN","7/5/2025 4:35",-0.005966
"7/5/2025 4:40","ROYALLA1","7/5/2025 4:35",0
"7/5/2025 4:40","RPCG","7/5/2025 4:35",-0.6
"7/5/2025 4:40","RUBICON","7/5/2025 4:35",0.315
"7/5/2025 4:40","SHOAL1","7/5/2025 4:35",42.860001
"7/5/2025 4:40","TULLYSM1","7/5/2025 4:35",9.9
"7/5/2025 4:40","WAUBRAWF","7/5/2025 4:35",161.507996
"7/5/2025 4:40","WNSF1","7/5/2025 4:35",0
"7/5/2025 4:40","WOOLNTH1","7/5/2025 4:35",11.83
"7/5/2025 4:40","YAMBUKWF","7/5/2025 4:35",13.3
"7/5/2025 4:40","YSWF1","7/5/2025 4:35",1.5
"7/5/2025 4:45","BARCSF1","7/5/2025 4:40",0.2
"7/5/2025 4:45","BUTLERSG","7/5/2025 4:40",7.599998
"7/5/2025 4:45","BWTR1","7/5/2025 4:40",-23.60708
"7/5/2025 4:45","CAPTL_WF","7/5/2025 4:40",0
"7/5/2025 4:45","CHALLHWF","7/5/2025 4:40",40.099998
"7/5/2025 4:45","CLOVER","7/5/2025 4:40",0
"7/5/2025 4:45","CLUNY","7/5/2025 4:40",2.138247
"7/5/2025 4:45","CONDONG1","7/5/2025 4:40",23.02
"7/5/2025 4:45","CULLRGWF","7/5/2025 4:40",0.08
"7/5/2025 4:45","DIAPURWF1","7/5/2025 4:40",5.3
"7/5/2025 4:45","ERGT01","7/5/2025 4:40",0
"7/5/2025 4:45","GB01","7/5/2025 4:40",0
"7/5/2025 4:45","GERMCRK","7/5/2025 4:40",16.372
"7/5/2025 4:45","GRIFSF1","7/5/2025 4:40",0.001526
"7/5/2025 4:45","HUGSF1","7/5/2025 4:40",-0.2
"7/5/2025 4:45","KEPBG1","7/5/2025 4:40",0
"7/5/2025 4:45","LRSF1","7/5/2025 4:40",0
"7/5/2025 4:45","MBAHNTH","7/5/2025 4:40",21.299999
"7/5/2025 4:45","MLSP1","7/5/2025 4:40",0.038
"7/5/2025 4:45","MLWF1","7/5/2025 4:40",5.52
"7/5/2025 4:45","PALOONA","7/5/2025 4:40",30.179998
"7/5/2025 4:45","PIONEER","7/5/2025 4:40",39.5
"7/5/2025 4:45","PORTWF","7/5/2025 4:40",69.900002
"7/5/2025 4:45","REPULSE","7/5/2025 4:40",3.244068
"7/5/2025 4:45","ROWALLAN","7/5/2025 4:40",-0.005966
"7/5/2025 4:45","ROYALLA1","7/5/2025 4:40",0
"7/5/2025 4:45","RPCG","7/5/2025 4:40",-0.6
"7/5/2025 4:45","RUBICON","7/5/2025 4:40",0.18
"7/5/2025 4:45","SHOAL1","7/5/2025 4:40",42.580002
"7/5/2025 4:45","TULLYSM1","7/5/2025 4:40",10.1
"7/5/2025 4:45","WAUBRAWF","7/5/2025 4:40",160.362
"7/5/2025 4:45","WNSF1","7/5/2025 4:40",0
"7/5/2025 4:45","WOOLNTH1","7/5/2025 4:40",12.43
"7/5/2025 4:45","YAMBUKWF","7/5/2025 4:40",14
"7/5/2025 4:45","YSWF1","7/5/2025 4:40",2.2
"7/5/2025 4:50","BARCSF1","7/5/2025 4:45",0.2
"7/5/2025 4:50","BUTLERSG","7/5/2025 4:45",7.599998
"7/5/2025 4:50","BWTR1","7/5/2025 4:45",-23.60708
"7/5/2025 4:50","CAPTL_WF","7/5/2025 4:45",0
"7/5/2025 4:50","CHALLHWF","7/5/2025 4:45",41.900002
"7/5/2025 4:50","CLOVER","7/5/2025 4:45",0
"7/5/2025 4:50","CLUNY","7/5/2025 4:45",2.147402
"7/5/2025 4:50","CONDONG1","7/5/2025 4:45",23.280001
"7/5/2025 4:50","CULLRGWF","7/5/2025 4:45",0.09
"7/5/2025 4:50","DIAPURWF1","7/5/2025 4:45",5.3
"7/5/2025 4:50","ERGT01","7/5/2025 4:45",0
"7/5/2025 4:50","GB01","7/5/2025 4:45",0
"7/5/2025 4:50","GRIFSF1","7/5/2025 4:45",0.00763
"7/5/2025 4:50","HUGSF1","7/5/2025 4:45",-0.2
"7/5/2025 4:50","KEPBG1","7/5/2025 4:45",0
"7/5/2025 4:50","LRSF1","7/5/2025 4:45",0
"7/5/2025 4:50","MBAHNTH","7/5/2025 4:45",21.799999
"7/5/2025 4:50","MLSP1","7/5/2025 4:45",0.038
"7/5/2025 4:50","MLWF1","7/5/2025 4:45",5.88
"7/5/2025 4:50","PALOONA","7/5/2025 4:45",30.039999
"7/5/2025 4:50","PIONEER","7/5/2025 4:45",39.599998
"7/5/2025 4:50","PORTWF","7/5/2025 4:45",73.800003
"7/5/2025 4:50","REPULSE","7/5/2025 4:45",3.097581
"7/5/2025 4:50","ROWALLAN","7/5/2025 4:45",-0.005966
"7/5/2025 4:50","ROYALLA1","7/5/2025 4:45",0
"7/5/2025 4:50","RPCG","7/5/2025 4:45",-0.6
"7/5/2025 4:50","RUBICON","7/5/2025 4:45",0.18
"7/5/2025 4:50","SHOAL1","7/5/2025 4:45",42.709999
"7/5/2025 4:50","TULLYSM1","7/5/2025 4:45",9.9
"7/5/2025 4:50","WAUBRAWF","7/5/2025 4:45",158.807999
"7/5/2025 4:50","WNSF1","7/5/2025 4:45",0
"7/5/2025 4:50","WOOLNTH1","7/5/2025 4:45",12.559999
"7/5/2025 4:50","YAMBUKWF","7/5/2025 4:45",15.8
"7/5/2025 4:50","YSWF1","7/5/2025 4:45",1
"7/5/2025 4:55","BARCSF1","7/5/2025 4:50",0.2
"7/5/2025 4:55","BUTLERSG","7/5/2025 4:50",7.499999
"7/5/2025 4:55","BWTR1","7/5/2025 4:50",-23.60708
"7/5/2025 4:55","CAPTL_WF","7/5/2025 4:50",0
"7/5/2025 4:55","CHALLHWF","7/5/2025 4:50",39.299999
"7/5/2025 4:55","CLOVER","7/5/2025 4:50",0
"7/5/2025 4:55","CLUNY","7/5/2025 4:50",2.162051
"7/5/2025 4:55","CONDONG1","7/5/2025 4:50",22.98
"7/5/2025 4:55","CULLRGWF","7/5/2025 4:50",0.14
"7/5/2025 4:55","DIAPURWF1","7/5/2025 4:50",5.3
"7/5/2025 4:55","ERGT01","7/5/2025 4:50",0
"7/5/2025 4:55","GB01","7/5/2025 4:50",0
"7/5/2025 4:55","GERMCRK","7/5/2025 4:50",16.191999
"7/5/2025 4:55","GRIFSF1","7/5/2025 4:50",0.001526
"7/5/2025 4:55","HUGSF1","7/5/2025 4:50",-0.2
"7/5/2025 4:55","KEPBG1","7/5/2025 4:50",0
"7/5/2025 4:55","LRSF1","7/5/2025 4:50",0
"7/5/2025 4:55","MBAHNTH","7/5/2025 4:50",22.1
"7/5/2025 4:55","MLSP1","7/5/2025 4:50",0.038
"7/5/2025 4:55","MLWF1","7/5/2025 4:50",6.63
"7/5/2025 4:55","PALOONA","7/5/2025 4:50",29.949999
"7/5/2025 4:55","PIONEER","7/5/2025 4:50",39.599998
"7/5/2025 4:55","PORTWF","7/5/2025 4:50",75.800003
"7/5/2025 4:55","REPULSE","7/5/2025 4:50",3.212329
"7/5/2025 4:55","ROWALLAN","7/5/2025 4:50",-0.005966
"7/5/2025 4:55","ROYALLA1","7/5/2025 4:50",0
"7/5/2025 4:55","RPCG","7/5/2025 4:50",-0.6
"7/5/2025 4:55","RUBICON","7/5/2025 4:50",0.315
"7/5/2025 4:55","SHOAL1","7/5/2025 4:50",42.459999
"7/5/2025 4:55","TULLYSM1","7/5/2025 4:50",9.9
"7/5/2025 4:55","WAUBRAWF","7/5/2025 4:50",158.455002
"7/5/2025 4:55","WNSF1","7/5/2025 4:50",0
"7/5/2025 4:55","WOOLNTH1","7/5/2025 4:50",12.709999
"7/5/2025 4:55","YAMBUKWF","7/5/2025 4:50",78.5
"7/5/2025 4:55","YSWF1","7/5/2025 4:50",7.5
"7/5/2025 5:00","BARCSF1","7/5/2025 4:55",0.2
"7/5/2025 5:00","BUTLERSG","7/5/2025 4:55",7.599998
"7/5/2025 5:00","BWTR1","7/5/2025 4:55",-23.60708
"7/5/2025 5:00","CAPTL_WF","7/5/2025 4:55",0
"7/5/2025 5:00","CHALLHWF","7/5/2025 4:55",40.900002
"7/5/2025 5:00","CLOVER","7/5/2025 4:55",0
"7/5/2025 5:00","CLUNY","7/5/2025 4:55",2.214237
"7/5/2025 5:00","CONDONG1","7/5/2025 4:55",23.290001
"7/5/2025 5:00","CULLRGWF","7/5/2025 4:55",0.1
"7/5/2025 5:00","DIAPURWF1","7/5/2025 4:55",5.3
"7/5/2025 5:00","ERGT01","7/5/2025 4:55",0
"7/5/2025 5:00","GB01","7/5/2025 4:55",0
"7/5/2025 5:00","GRIFSF1","7/5/2025 4:55",0.001526
"7/5/2025 5:00","HUGSF1","7/5/2025 4:55",-0.2
"7/5/2025 5:00","KEPBG1","7/5/2025 4:55",0
"7/5/2025 5:00","LRSF1","7/5/2025 4:55",0
"7/5/2025 5:00","MBAHNTH","7/5/2025 4:55",21.4
"7/5/2025 5:00","MLSP1","7/5/2025 4:55",0.038
"7/5/2025 5:00","MLWF1","7/5/2025 4:55",6.735
"7/5/2025 5:00","PALOONA","7/5/2025 4:55",30.09
"7/5/2025 5:00","PIONEER","7/5/2025 4:55",36.200001
"7/5/2025 5:00","PORTWF","7/5/2025 4:55",80.099998
"7/5/2025 5:00","REPULSE","7/5/2025 4:55",3.218433
"7/5/2025 5:00","ROWALLAN","7/5/2025 4:55",-0.005966
"7/5/2025 5:00","ROYALLA1","7/5/2025 4:55",0
"7/5/2025 5:00","RPCG","7/5/2025 4:55",-0.6
"7/5/2025 5:00","RUBICON","7/5/2025 4:55",0.18
"7/5/2025 5:00","SHOAL1","7/5/2025 4:55",42.43
